Computer	Share	IsEveryoneAllowed	IsCurrentUserAllowed
BSLITHNPSL030.BSLI.COM	ADMIN$	False	False
BSLITHNPSL030.BSLI.COM	C$	False	False
BSLITHNPSL030.BSLI.COM	D	True	True
BSLITHNPSL030.BSLI.COM	D$	False	False
BSLIIBHRL069.BSLI.COM	ADMIN$	False	False
BSLIIBHRL069.BSLI.COM	C$	False	False
BSLIIBHRL069.BSLI.COM	D$	False	False
BSLIIBHRL069.BSLI.COM	print$	True	True
HFLC5CD4024081.BSLI.COM	ADMIN$	False	False
HFLC5CD4024081.BSLI.COM	C$	False	False
BSLITHNSTL027.BSLI.COM	ADMIN$	False	False
BSLITHNSTL027.BSLI.COM	C$	False	False
BSLITHNSTL027.BSLI.COM	D$	False	False
ADLC5CD4125QZ6.BSLI.COM	ADMIN$	False	False
ADLC5CD4125QZ6.BSLI.COM	C$	False	False
BGLC5CD5040YF1.BSLI.COM	ADMIN$	False	False
BGLC5CD5040YF1.BSLI.COM	C$	False	False
HILL1N12200JWQ.BSLI.COM	ADMIN$	False	False
HILL1N12200JWQ.BSLI.COM	C$	False	False
HILL1N12200JWQ.BSLI.COM	D	True	True
HILL1N12200JWQ.BSLI.COM	D$	False	False
BGLV1N13230K92.BSLI.COM	ADMIN$	False	False
BGLV1N13230K92.BSLI.COM	C$	False	False
BGLC5CD501B7ND.BSLI.COM	ADMIN$	False	False
BGLC5CD501B7ND.BSLI.COM	C$	False	False
BGLC5CD501B7ND.BSLI.COM	Scan	True	True
ENLIGHTAIPDB.BSLI.COM	D$	False	False
ENLIGHTAIPDB.BSLI.COM	E$	False	False
ENLIGHTAIPDB.BSLI.COM	F$	False	False
BSLINOIHRL029.BSLI.COM	ADMIN$	False	False
BSLINOIHRL029.BSLI.COM	C$	False	False
BSLINOIHRL029.BSLI.COM	D$	False	False
HFLC8K3WBL3.BSLI.COM	ADMIN$	False	False
HFLC8K3WBL3.BSLI.COM	C$	False	False
HFLC8K3WBL3.BSLI.COM	print$	True	True
HFLCPW07H9ZT.BSLI.COM	ADMIN$	False	False
HFLCPW07H9ZT.BSLI.COM	C$	False	False
BGLC9HF3TL3.BSLI.COM	ADMIN$	False	False
BGLC9HF3TL3.BSLI.COM	C$	False	False
BGLC9HF3TL3.BSLI.COM	print$	True	True
BSLIJAYHRL055.BSLI.COM	ADMIN$	False	False
BSLIJAYHRL055.BSLI.COM	C$	False	False
BSLIJAYHRL055.BSLI.COM	D$	False	False
HFDC8CG9049WR0.BSLI.COM	ADMIN$	False	False
HFDC8CG9049WR0.BSLI.COM	C$	False	False
BSLITHNRML9445.BSLI.COM	ADMIN$	False	False
BSLITHNRML9445.BSLI.COM	C$	False	False
BSLITHNRML9445.BSLI.COM	M$	False	False
BSLITHNRML9445.BSLI.COM	print$	True	True
HILLPG0443K6.BSLI.COM	ADMIN$	False	False
HILLPG0443K6.BSLI.COM	C$	False	False
HILLPG0443K6.BSLI.COM	D$	False	False
HFLC9VQBTL3.BSLI.COM	ADMIN$	False	False
HFLC9VQBTL3.BSLI.COM	C$	False	False
HFLC10E42C0700.BSLI.COM	ADMIN$	False	False
HFLC10E42C0700.BSLI.COM	C$	False	False
BGLV15J2DS3.BSLI.COM	ADMIN$	False	False
BGLV15J2DS3.BSLI.COM	C$	False	False
HFLC1006B00700.BSLI.COM	ADMIN$	False	False
HFLC1006B00700.BSLI.COM	C$	False	False
BGLV5BH0BG3.BSLI.COM	ADMIN$	False	False
BGLV5BH0BG3.BSLI.COM	C$	False	False
